,id,user_name,tweet_date,tweet_text,punc_text,scores,compound,sentiment,sentiment_bin,vaccine
0,1.34054e+18,Rachel Roh,20-12-2020 06:06,Same folks said daikon paste could treat a cytokine storm #PfizerBioNTech https://t.co/xeHhIMg1kF,Same folks said daikon paste could treat a cytokine storm PfizerBioNTech,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}",0.4019,positive,1,['pfizer']
1,1.33816e+18,Albert Fong,13-12-2020 16:27,"While the world has been on the wrong side of history this year, hopefully, the biggest vaccination effort we've ev… https://t.co/dlCHrZjkhm",While the world has been on the wrong side of history this year hopefully the biggest vaccination effort weve ev,"{'neg': 0.13, 'neu': 0.756, 'pos': 0.113, 'compound': -0.1027}",-0.1027,negative,-1,[]
2,1.33786e+18,eli🇱🇹🇪🇺👌,12-12-2020 20:33,#coronavirus #SputnikV #AstraZeneca #PfizerBioNTech #Moderna #Covid_19 Russian vaccine is created to last 2-4 years… https://t.co/ieYlCKBr8P,coronavirus SputnikV AstraZeneca PfizerBioNTech Moderna Covid_19 Russian vaccine is created to last 24 years,"{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.25}",0.25,positive,1,"['pfizer', 'astrazeneca', 'moderna', 'sputnik']"
3,1.33786e+18,Charles Adler,12-12-2020 20:23,"Facts are immutable, Senator, even when you're not ethically sturdy enough to acknowledge them. (1) You were born i… https://t.co/jqgV18kch4",Facts are immutable Senator even when youre not ethically sturdy enough to acknowledge them 1 You were born i,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neuteral,0,[]
4,1.33785e+18,Citizen News Channel,12-12-2020 20:17,Explain to me again why we need a vaccine @BorisJohnson @MattHancock #whereareallthesickpeople #PfizerBioNTech… https://t.co/KxbSRoBEHq,Explain to me again why we need a vaccine BorisJohnson MattHancock whereareallthesickpeople PfizerBioNTech,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neuteral,0,['pfizer']
5,1.33785e+18,Dee,12-12-2020 20:11,Does anyone have any useful advice/guidance for whether the COVID vaccine is safe whilst breastfeeding?… https://t.co/EifsyQoeKN,Does anyone have any useful adviceguidance for whether the COVID vaccine is safe whilst breastfeeding,"{'neg': 0.0, 'neu': 0.691, 'pos': 0.309, 'compound': 0.7003}",0.7003,positive,1,[]
6,1.33785e+18,Gunther Fehlinger,12-12-2020 20:06,"it is a bit sad to claim the fame for success of #vaccination on patriotic competition between USA, Canada, UK and… https://t.co/IfMrAyGyTP",it is a bit sad to claim the fame for success of vaccination on patriotic competition between USA Canada UK and,"{'neg': 0.116, 'neu': 0.637, 'pos': 0.247, 'compound': 0.5423}",0.5423,positive,1,[]
7,1.33785e+18,Dr.Krutika Kuppalli,12-12-2020 20:04,"There have not been many bright days in 2020 but here are some of the best 
1. #BidenHarris winning #Election2020… https://t.co/77u4f8XXfx",There have not been many bright days in 2020 but here are some of the best 1 BidenHarris winning Election2020,"{'neg': 0.061, 'neu': 0.569, 'pos': 0.37, 'compound': 0.8933}",0.8933,positive,1,[]
8,1.33785e+18,Erin Despas,12-12-2020 20:01,"Covid vaccine; You getting it?

 #CovidVaccine #covid19 #PfizerBioNTech #Moderna",Covid vaccine You getting it CovidVaccine covid19 PfizerBioNTech Moderna,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neuteral,0,"['pfizer', 'moderna']"
9,1.33784e+18,Ch.Amjad Ali,12-12-2020 19:30,"#CovidVaccine 

States will start getting #COVID19Vaccine Monday, #US says 
#pakustv #NYC #Healthcare #GlobalGoals… https://t.co/MksOvBvs5w",CovidVaccine States will start getting COVID19Vaccine Monday US says pakustv NYC Healthcare GlobalGoals,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neuteral,0,[]
